main_category,sub_category,is_active,display_order,id,created_date,updated_date,created_by_id,created_by,is_sample
"טיפול וייעוץ","NLP","true","5","6847eab8d36ab6e11e84eef2","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"שירותי בית","ניקיון","true","3","6847eab8d36ab6e11e84eefa","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפול וייעוץ","ליווי נשי","true","2","6847eab8d36ab6e11e84eeef","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"חינוך והוראה","קורסים למבוגרות","true","4","6847eab8d36ab6e11e84eef7","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"שירותי בית","בישול ביתי","true","1","6847eab8d36ab6e11e84eef8","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"חינוך והוראה","שיעורים פרטיים","true","1","6847eab8d36ab6e11e84eef4","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפול וייעוץ","יעוץ זוגי","true","6","6847eab8d36ab6e11e84eef3","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפול וייעוץ","דולה","true","3","6847eab8d36ab6e11e84eef0","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"שירותי בית","עוזרת בית","true","2","6847eab8d36ab6e11e84eef9","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"טיפול וייעוץ","מאמנת אישית","true","4","6847eab8d36ab6e11e84eef1","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
"חינוך והוראה","חוגים לילדים","true","3","6847eab8d36ab6e11e84eef6","2025-06-10T08:20:08.546000","2025-06-10T08:20:08.546000","67ee293b02fba5104839324e","cberdugocohen@gmail.com","false"
